model,MAE,RMSE,R2
Random forest,4.0948309564400915,7.500766315845804,0.46367382827299397
Voting ensemble,4.677709449895762,8.302813434035546,0.3428443014914131
Linear,5.764809200482644,9.771027071347284,0.0898810594467978
Ridge,5.763971040629787,9.776215027057573,0.08891434218995142
