model,MAE_C,RMSE_C,R2
Seasonal linear,2.3522636443356504,2.7738311979588444,0.35188217511108977
Persistence baseline,3.2054289991803278,3.48502967130704,-0.023073578514165582
Histogram gradient boosting,3.061096060349405,3.647058523808958,-0.12041618484184236
Monthly-hour climatology,3.1986527239037894,3.896687098938652,-0.279042502306043
