model,cv_balanced_accuracy_mean,cv_balanced_accuracy_sd,test_accuracy,test_balanced_accuracy
Logistic,0.7838241948051732,0.027651489978509133,0.8278236914600551,0.7988347770243227
Tuned SVM,0.7715489782620846,0.029631135986750164,0.8140495867768595,0.7876500097907467
Soft-voting ensemble,0.7460631739043647,0.03849349708235869,0.849862258953168,0.7440164738622108
Random forest,0.7345463016530873,0.028211647837064376,0.8484848484848485,0.7162358300053799
Gradient boosting,0.71239340490334,0.027032874062184995,0.849862258953168,0.7008715504653732
