fold,train_n,test_n,RMSE_C,MAE_C
1,122,122,3.8755427813121766,3.4932876114957248
2,244,122,1.6696033349214565,1.3365232230922357
3,366,122,3.74494834520959,3.2149539200147137
4,488,122,4.604913987789033,4.332787617957213
5,610,122,1.4362426644587225,1.2203613561274615
